x_m	y_m
-37.07459339161095	-7.958709357981973
-37.520513170590135	-8.058632965969942
-37.966529634859775	-8.158648050305494
-38.41268445596284	-8.258537845857292
-38.85894299899846	-8.358190223276202
-39.30526030256505	-8.457507674807108
-39.751591313876034	-8.556392235770083
-40.1978910715298	-8.65474648979497
-40.644114614124746	-8.752472472201838
-41.090216980259264	-8.849472583850613
-41.53615311714675	-8.945649134216248
-41.981896888687935	-9.041041967142453
-42.42756042423195	-9.136703380473802
-42.87331781213256	-9.23413720515517
-43.319343232128546	-9.334849739525442
-43.765812326118045	-9.440232045485622
-44.212955110052	-9.547250416431606
-44.661071692147615	-9.647151086793954
-45.11046674987031	-9.730800769253495
-45.561445052070404	-9.789066359260957
-46.014145869430926	-9.815161609492145
-46.468053059683	-9.811597687334904
-46.92248808947918	-9.783187473230615
-47.37677251685695	-9.734743573465757
-47.83019947913047	-9.670830027228492
-48.28164411879481	-9.592348712714925
-48.729663284520285	-9.497415089225887
-49.17280614864033	-9.384074615180857
-49.609642810644814	-9.250459656098757
-50.03905627213563	-9.095979956506014
-50.460166952847565	-8.921016043386992
-50.872101212537935	-8.72597275212609
-51.27398531957916	-8.511254643952835
-51.66494581649851	-8.277266737021561
-52.04410897166834	-8.02441377533171
-52.410601144846034	-7.753100411497771
-52.763548787173875	-7.463731480904149
-53.101839926426706	-7.1566234496764025
-53.422641171838485	-6.831453820281438
-53.722362465152656	-6.487619817505818
-53.99741036686905	-6.124516929821803
-54.24424517184551	-5.741588988346882
-54.46126517584222	-5.340017966187596
-54.649307739271656	-4.923172678605983
-54.809365759752666	-4.494561577086975
-54.94242829673572	-4.057663504387608
-55.0493586639627	-3.614897237698527
-55.1308618964202	-3.167350623614763
-55.1876331595189	-2.7160268862559658
-55.220367435899504	-2.261929158356825
-55.22975989097268	-1.8060609381918684
-55.21650541599421	-1.349425267110824
-55.18129926775968	-0.8930255520032732
-55.12483633752487	-0.43786501698885183
-55.04745904474472	0.014829494809254884
-54.94816407391462	0.46297769610195105
-54.82562716554122	0.9042959680583063
-54.67852415151618	1.3365006004624473
-54.505530955116065	1.7573080658683942
-54.305323316847556	2.164434745445239
-54.076577159987224	2.5555969289770855
-53.817968133656805	2.9285109062480386
-53.528269120578194	3.2806856145620413
-53.207599195357716	3.6067435971786352
-52.85706420742801	3.8991932062471597
