x_m	y_m
-58.36116623821012	-55.437152226208845
-57.93651119846752	-55.55086271857664
-57.497749529614566	-55.587122580235274
-57.05319169635425	-55.56104010928252
-56.611141082873296	-55.487893536207025
-56.17784055349257	-55.38086230099292
-55.752995594585315	-55.24646531846942
-55.33501801946064	-55.08990336228836
-54.92231955180094	-54.916377385355204
-54.51331182566171	-54.7310883405754
-54.10640674397891	-54.539237091227555
-53.700016030434874	-54.34602450059035
-53.292587438680904	-54.15653151129952
-52.88348506665311	-53.97279211369153
-52.4730394579472	-53.79362663997719
-52.061627403581745	-53.61770162279831
-51.649625515321645	-53.44368368442348
-51.237410673812256	-53.27023953674816
-50.82535949081854	-53.096035712414164
-50.41384660631609	-52.91974636234033
-50.00306176021602	-52.7407332541663
-49.5928624459247	-52.559590613499324
-49.18307191941539	-52.377040742627315
-48.77351325740774	-52.19380585421138
-48.36400980550174	-52.01060851941978
-47.95438455079029	-51.82817077166009
-47.54446074924659	-51.64721509247377
-47.134130848724546	-51.46815788791983
-46.72350571756143	-51.29045135906744
-46.312739244952986	-51.11335751894072
-45.90198523046812	-50.936138649444146
-45.49139774255614	-50.758056763601836
-45.08113058078599	-50.5783740536915
-44.67133763435339	-50.396352711990815
-44.26232076628175	-50.211132500584505
-43.85523472811313	-50.021148087612744
-43.451539092097	-49.824582021059875
-43.052693609736416	-49.61961666965667
-42.66015830141479	-49.40443431250712
-42.27539300826199	-49.17721731834196
-41.89985766103464	-48.93614805589199
-41.534810261335046	-48.67968144895156
-41.17927647634627	-48.40929239595097
-40.83089257877719	-48.12833401429872
-40.48727458568254	-47.84018720570775
-40.14691649813645	-47.547283365694405
-39.81107165714822	-47.24906967622767
-39.4815334947542	-46.944408952616065
-39.160052691012694	-46.63219511066361
-38.847295531468816	-46.31210450803734
-38.54278950369403	-45.98463591781482
-38.24600769179916	-45.65032701109982
-37.956423448775446	-45.30971554862284
-37.673509948360525	-44.96333920148768
-37.396740453918845	-44.61173573042484
-37.12558822881482	-44.2554428961649
-36.85952644678612	-43.894998369811596
-36.59802837119717	-43.53093991209548
-36.34056726541238	-43.16380519412028
-36.08661630316942	-42.79413197661656
-35.83564883745951	-42.422457930688076
-35.58713795239351	-42.04932090669215
-35.34055700096264	-41.67525848610575
-35.09536320333619	-41.300737176362624
-34.85096349905518	-40.92600004531298
-34.606755327221045	-40.55124651256104
-34.362135768428026	-40.17667563920391
-34.116502082524	-39.802487024099406
-33.86925152935681	-39.42887972834462
